mp_id,name,constituency_id,party,since,until,photo,link,group,constituency
356,Věra Procházková,1,ANO,2022-10-01,2028-10-01,/images/senatori/prochazkovav_295.jpg,https://senat.cz/senatori/index.php?ke_dni=01.01.2023&lng=cz&par_3=356,ANO a SOCDEM,Karlovy Vary
314,Miroslav Balatka,2,STAN,2018-10-13,2024-10-13,/images/senatori/balatkam_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.01.2019&lng=cz&par_3=314,Starostové a nezávislí,Sokolov
336,Miroslav Plevný,3,STAN,2020-10-10,2026-10-10,/images/senatori/plevnym_295.jpg,https://senat.cz/senatori/index.php?ke_dni=10.01.2021&lng=cz&par_3=336,Starostové a nezávislí,Cheb
357,Jan Paparega,4,ProMOST,2022-10-01,2028-10-01,/images/senatori/paparegaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=01.01.2023&lng=cz&par_3=357,Občanské demokratické strany a TOP 09,Most
315,Přemysl Rabas,5,SEN 21,2018-10-13,2024-10-13,/images/senatori/rabasp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.01.2019&lng=cz&par_3=315,SEN 21 a Piráti,Chomutov
337,Ivo Trešl,6,STAN,2020-10-10,2026-10-10,/images/senatori/tresli_295.jpg,https://senat.cz/senatori/index.php?ke_dni=10.01.2021&lng=cz&par_3=337,Starostové a nezávislí,Louny
358,Daniela Kovářová,7,NK,2022-10-01,2028-10-01,/images/senatori/kovarovad_295.jpg,https://senat.cz/senatori/index.php?ke_dni=01.01.2023&lng=cz&par_3=358,Nezařazení,Plzeň-město
316,Pavel Karpíšek,8,ODS,2018-10-13,2024-10-13,/images/senatori/karpisekp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.01.2019&lng=cz&par_3=316,Občanské demokratické strany a TOP 09,Rokycany
275,Lumír Aschenbrenner,9,ODSTOPKDUADSMon,2020-10-10,2026-10-10,/images/senatori/aschenbrennerl_295.jpg,https://senat.cz/senatori/index.php?ke_dni=10.01.2021&lng=cz&par_3=275,Občanské demokratické strany a TOP 09,Plzeň-město
171,Tomáš Jirsa,10,ODS,2022-10-01,2028-10-01,/images/senatori/jirsat_295.jpg,https://senat.cz/senatori/index.php?ke_dni=01.01.2023&lng=cz&par_3=171,Občanské demokratické strany a TOP 09,Český Krumlov
