voter_id,dim1,dim2,dim3,jméno,kandidátka,klub,mp_id,name,party,datum
15,-3.250591417812188,4.452542804505608,3.94971507300684,,,,15.0,Milan Štěch,ČSSD,0.0
63,-1.8303572183787546,-3.0761738965882963,-0.19591309052714276,,,,63.0,Jitka Seitlová,KDU-ČSL,0.0
92,0.5678178058273049,3.8354711982833023,-1.156036239023352,,,,92.0,Jaroslav Doubrava,S.cz,0.0
120,5.806036019565445,-5.138648088270705,-4.999761708619346,,,,120.0,Jaroslav Kubera,ODS,0.0
139,-1.3658530256637418,6.179466911318553,2.7425588140362236,,,,139.0,Ivo Bárek,ČSSD,0.0
169,-0.7629214047741135,-4.242837412112837,-2.469153734964968,,,,169.0,Jan Horník,STAN,0.0
171,6.505055391321316,-0.5225383384966708,-4.8662977344887395,,,,171.0,Tomáš Jirsa,ODS,0.0
172,6.246104281222773,-4.806273996133681,-6.283837988730093,,,,172.0,Jiří Oberfalzer,KDU+ODS+TOP 09,0.0
193,4.3067176867089785,-3.6044622272698943,-5.344831044940821,,,,193.0,Tomáš Grulich,ODS,0.0
196,-2.08129453572754,3.9016435218082286,2.9280176006629075,,,,196.0,Jaromír Jermář,ČSSD,0.0
203,-2.7502229016687045,2.6836231100201053,3.401912409144358,,,,203.0,Božena Sekaninová,ČSSD,0.0
206,-1.4173726763576566,5.48337573925365,2.625423279767338,,,,206.0,Petr Vícha,ČSSD,0.0
207,-0.5742228839883317,-0.4875084546818461,-1.7738906302571742,,,,207.0,Jiří Čunek,KDU-ČSL,0.0
209,-3.2451324264535204,6.573272601786872,6.309550688237844,,,,209.0,Václav Homolka,KSČM,0.0
211,-0.933371455628894,6.3367980363504195,2.1397764794818235,,,,211.0,Miroslav Nenutil,ČSSD,0.0
224,-0.14952512695205175,0.20179780102479064,-1.5141080208815203,,,,224.0,Miroslav Antl,ČSSD,0.0
231,2.839475178249027,2.4882782821489364,-1.6000203701371094,,,,231.0,Radek Sušil,ČSSD,0.0
233,-1.4947628851194372,-3.032304389343924,-1.3110293044477956,,,,233.0,Alena Dernerová,SD-SN,0.0
239,1.0170965435657988,3.937603857764127,-0.10242478371794532,,,,239.0,Jaromír Strnad,ČSSD,0.0
240,-5.377164788502451,3.753629788855902,5.765253888908695,,,,240.0,Miluše Horská,KDU-ČSL+Nestran,0.0
241,-4.657618904347454,1.5446964826385658,6.443643124449817,,,,241.0,Petr Šilar,KDU-ČSL,0.0
243,6.426706919147272,-4.1207017414630345,-4.472961652017089,,,,243.0,Miloš Vystrčil,KDU+ODS+TOP 09,0.0
244,-0.7810572852804456,5.54758997124527,2.6554646160194,,,,244.0,Jan Žaloudík,ČSSD,0.0
253,-2.838269596097728,4.053098433984434,2.95283689100273,,,,253.0,Jiří Dienstbier,ČSSD,0.0
255,-5.658602758292842,5.301008042087668,5.708853678391963,,,,255.0,Zdeněk Brož,KDU+NV,0.0
256,-0.00423379843266421,6.171872140941583,3.371109861353758,,,,256.0,František Bublan,ČSSD,0.0
258,-0.717940489313717,6.048748583428143,4.386016603738923,,,,258.0,Lubomír Franc,ČSSD,0.0
259,1.0077233393447609,-4.408535720582889,-3.529806001062,,,,259.0,Luděk Jeništa,TOP+STAN,0.0
260,-1.5658095481565228,2.6128084568926013,2.6117612932291028,,,,260.0,Jan Látka,ČSSD,0.0
261,-0.03549862078965829,5.38457436184802,3.175723818391442,,,,261.0,Radko Martínek,ČSSD,0.0
262,1.6257764668004107,4.760247705504224,2.280994609931192,,,,262.0,Hassan Mezian,ČSSD,0.0
265,-0.26375312853347077,5.025538263490134,2.6758077220921352,,,,265.0,Eva Syková,ČSSD,0.0
266,-0.29282559931155977,5.947812876815823,2.8747628004360224,,,,266.0,Jan Veleba,NK,0.0
267,-3.276488798587116,-3.512273833045542,0.049771523770891696,,,,267.0,Eliška Wagnerová,SZ,0.0
268,8.093671387452412,-3.673302209300212,-5.725715806613382,,,,268.0,Jaroslav Zeman,ODS,0.0
269,-3.950212186178621,-1.0543404857400114,1.4623433131304708,,,,269.0,Libor Michálek,PirSZKDU,0.0
270,-0.8423381173047707,-4.870568300360095,-3.1539300870333564,,,,270.0,Leopold Sulovský,Ostravak,0.0
271,1.7524898004234524,-6.77873930303986,-5.211540461491262,,,,271.0,Jiří Šesták,STANHOPB,0.0
272,-0.938899851304263,2.5886125004953184,1.8417684584299732,,,,272.0,Patrik Kunčar,KDU-ČSL,0.0
274,-1.6874365757209189,8.298328313713393,3.0212098415397763,,,,274.0,Zdeňka Hamousová,ANO 2011,0.0
275,7.5956984901698545,-2.548177336903536,-4.767853240181188,,,,275.0,Lumír Aschenbrenner,ODSTOPKDUADSMon,0.0
276,-1.1953686147107911,5.418106927391025,0.9468293753423435,,,,276.0,Karel Kratochvíle,ČSSD,0.0
277,8.286840745351492,-2.596033317267433,-5.422287219379015,,,,277.0,Jiří Burian,ODS,0.0
278,-5.764293872879879,-1.0097733853222806,3.0467836259735086,,,,278.0,Václav Láska,SEN 21,0.0
279,2.6588456900773503,2.3363336404063815,-1.1487166493644323,,,,279.0,Zuzana Baudyšová,ANO 2011,0.0
280,-5.616634290990672,-0.6085993242339247,5.122288292568286,,,,280.0,Václav Hampl,KDUČSLSZ,0.0
281,2.2378559781709666,-5.481518767859834,-4.832529223428147,,,,281.0,Zbyněk Linhart,STAN+SLK,0.0
282,-1.0235214353904614,-5.737649392918126,-3.19745394260746,,,,282.0,Jiří Vosecký,STAN+SLK,0.0
284,-1.199136475632011,6.653540986144227,2.597602743737138,,,,284.0,Emilie Třísková,ČSSD,0.0
285,-1.6090388817900019,5.098201019279196,2.6377048141200583,,,,285.0,Jaroslav Malý,ČSSD,0.0
286,-5.082376913690705,2.798443924849902,5.740260372906949,,,,286.0,František Bradáč,KDU-ČSL,0.0
287,-0.4550930380119253,6.061009879118644,2.2941080688519806,,,,287.0,Pavel Štohl,ČSSD,0.0
288,-3.9774746581653693,-2.300271144695769,2.036490088613835,,,,288.0,Zdeněk Papoušek,KDU-ČSL,0.0
289,-4.838959444862265,2.9450579515082844,6.01875212412316,,,,289.0,Alena Šromová,KDU-ČSL,0.0
290,-5.281197579598096,0.9886570560358677,5.766786553141688,,,,290.0,Jiří Carbol,KDU-ČSL,0.0
291,-1.3236443854990132,8.330546986844979,3.594284437353471,,,,291.0,Peter Koliba,ANO 2011,0.0
293,6.906984958649148,-5.788821486123866,-6.582691734507677,,,,293.0,Ivo Valenta,SsČR,0.0
294,-1.849871543264172,-3.6007065498465787,-0.847519722591077,,,,294.0,Václav Chaloupek,OPAT,0.0
295,0.5775321754169975,6.079756093052134,1.2558646211014435,,,,295.0,Jaroslav Větrovský,ANO 2011,0.0
296,-3.222276250134382,1.238309941820894,2.1906789288845774,,,,296.0,Ladislav Kos,KDUSZ+HPP11+Pir,0.0
297,-4.915931919675596,0.4421630297830644,4.5060438380529195,,,,297.0,Renata Chmelová,KDU+Pir+DPD+LES,0.0
298,-1.2283136227478277,-2.5993729896100057,-2.040363991987835,,,,298.0,Jiří Růžička,KDU+ODS+STA+TOP,0.0
299,-1.5311659885019278,-4.044291292350119,-1.1773583865531216,,,,299.0,Petr Holeček,STAN,0.0
300,2.2857772055508585,-4.819732684199965,-3.8234262903034133,,,,300.0,Michael Canov,SLK,0.0
301,0.25747962354567333,-4.254349370327759,-2.19448853739404,,,,301.0,Tomáš Czernin,KDU+ODS+TOP 09,0.0
302,-4.347154470816768,2.6315793840672232,5.511152784678143,,,,302.0,Jaromíra Vítková,KDU+ODS+TOP 09,0.0
303,-2.168411932682197,7.110274651265037,3.032817298329866,,,,303.0,Jiří Dušek,ČSSDODSVasFaktB,0.0
304,-2.812669623214969,-0.1708562801552812,3.2522575940560507,,,,304.0,Lumír Kantor,KDU+ODS+TOP 09,0.0
305,-0.3443484815217817,5.755634162023517,0.7277431625716094,,,,305.0,Ladislav Václavec,ANO,0.0
306,-5.702119127073412,-0.6155171980232926,2.9552496470041625,,,,306.0,Petr Orel,KDUČSLSZ,0.0
307,7.1368410680749035,-5.149289262117142,-6.300257509640369,,,,307.0,Zdeněk Nytra,KDU+ODS+TOP 09,0.0
308,0.9772666850664252,5.599708445564026,0.8466955256541336,,,,308.0,Jiří Cieńciała,"""OSN""",0.0
309,-4.509617125850586,-0.33258680025760484,4.197528948280249,,,,309.0,Šárka Jelínková,KDU-ČSL,0.0
