voter_id,name,not_present,present,total,present_rate,not_present_rate,mp_id,party,group,photo,constituency,účast,abbreviation
134,Ondřej Feber,2,18,20,0.9,0.1,134,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/febero_295.jpg,Karviná,90,ANO a SOCDEM
367,Zdeněk Matušek,3,17,20,0.85,0.15,367,ČSSD+ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/matusekz_295.jpg,Frýdek-Místek,85,ANO a SOCDEM
206,Petr Vícha,2,18,20,0.9,0.1,206,ČSSD,ANO a SOCDEM,https://www.senat.cz/images/senatori/vichap_295.jpg,Karviná,90,ANO a SOCDEM
356,Věra Procházková,1,19,20,0.95,0.05,356,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/prochazkovav_295.jpg,Karlovy Vary,95,ANO a SOCDEM
332,Miroslav Adámek,0,20,20,1.0,0.0,332,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/adamekm_295.jpg,Šumperk,100,ANO a SOCDEM
305,Ladislav Václavec,2,18,20,0.9,0.1,305,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/vaclavecl_295.jpg,Bruntál,90,ANO a SOCDEM
63,Jitka Seitlová,1,19,20,0.95,0.05,63,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/seitlovaj_295.jpg,Přerov,95,KDU-ČSL
366,Ivana Váňová,0,20,20,1.0,0.0,366,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vanovai_295.jpg,Nový Jičín,100,KDU-ČSL
365,Bohuslav Procházka,3,17,20,0.85,0.15,365,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/prochazkab_295.jpg,Kutná Hora,85,KDU-ČSL
355,Petr Fiala,0,20,20,1.0,0.0,355,KDU-ČSL+SproK,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/fialap_295.jpg,Ústí nad Orlicí,100,KDU-ČSL
