absent,abstain,no,yes,possible,attendance,rate,mp_id,name,party,group,photo,constituency,abbreviation,účast
164,47,12,218,441,277,0.6281179138321995,134,Ondřej Feber,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/febero_295.jpg,Karviná,ANO a SOCDEM,63
191,75,9,166,441,250,0.5668934240362812,367,Zdeněk Matušek,ČSSD+ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/matusekz_295.jpg,Frýdek-Místek,ANO a SOCDEM,57
158,55,17,211,441,283,0.6417233560090703,206,Petr Vícha,ČSSD,ANO a SOCDEM,https://www.senat.cz/images/senatori/vichap_295.jpg,Karviná,ANO a SOCDEM,64
100,39,23,279,441,341,0.7732426303854876,356,Věra Procházková,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/prochazkovav_295.jpg,Karlovy Vary,ANO a SOCDEM,77
71,95,14,261,441,370,0.8390022675736961,332,Miroslav Adámek,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/adamekm_295.jpg,Šumperk,ANO a SOCDEM,84
171,69,13,188,441,270,0.6122448979591837,305,Ladislav Václavec,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/vaclavecl_295.jpg,Bruntál,ANO a SOCDEM,61
97,59,16,269,441,344,0.780045351473923,63,Jitka Seitlová,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/seitlovaj_295.jpg,Přerov,KDU-ČSL,78
27,39,21,354,441,414,0.9387755102040817,366,Ivana Váňová,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vanovai_295.jpg,Nový Jičín,KDU-ČSL,94
82,50,6,303,441,359,0.8140589569160998,365,Bohuslav Procházka,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/prochazkab_295.jpg,Kutná Hora,KDU-ČSL,81
51,35,14,341,441,390,0.8843537414965986,355,Petr Fiala,KDU-ČSL+SproK,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/fialap_295.jpg,Ústí nad Orlicí,KDU-ČSL,88
87,47,11,296,441,354,0.8027210884353742,354,Josef Bazala,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/bazalaj_295.jpg,Uherské Hradiště,KDU-ČSL,80
89,74,9,269,441,352,0.7981859410430839,347,Josef Klement,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/klementj_295.jpg,Žďár nad Sázavou,KDU-ČSL,80
88,34,15,304,441,353,0.800453514739229,304,Lumír Kantor,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/kantorl_295.jpg,Olomouc,KDU-ČSL,80
32,46,9,354,441,409,0.927437641723356,302,Jaromíra Vítková,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vitkovaj_295.jpg,Blansko,KDU-ČSL,93
37,43,11,350,441,404,0.9160997732426304,369,Eva Rajchmanová,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/rajchmanovae_295.jpg,Hodonín,KDU-ČSL,92
