abstain,no,not_voting,yes,possible,attendance,rate,mp_id,name,party,group,photo,constituency,abbreviation,účast
171,34,490,822,1517,1027,0.6769940672379697,134,Ondřej Feber,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/febero_295.jpg,Karviná,ANO a SOCDEM,68
46,7,208,134,395,187,0.47341772151898737,367,Zdeněk Matušek,ČSSD+ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/matusekz_295.jpg,Frýdek-Místek,ANO a SOCDEM,47
243,90,1227,1106,2666,1439,0.5397599399849963,206,Petr Vícha,ČSSD,ANO a SOCDEM,https://www.senat.cz/images/senatori/vichap_295.jpg,Karviná,ANO a SOCDEM,54
37,15,108,235,395,287,0.7265822784810126,356,Věra Procházková,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/prochazkovav_295.jpg,Karlovy Vary,ANO a SOCDEM,73
447,107,288,1767,2609,2321,0.8896128784975086,332,Miroslav Adámek,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/adamekm_295.jpg,Šumperk,ANO a SOCDEM,89
319,84,920,1343,2666,1746,0.654913728432108,305,Ladislav Václavec,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/vaclavecl_295.jpg,Bruntál,ANO a SOCDEM,65
417,112,522,1588,2639,2117,0.8021978021978022,63,Jitka Seitlová,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/seitlovaj_295.jpg,Přerov,KDU-ČSL,80
29,20,26,320,395,369,0.9341772151898734,366,Ivana Váňová,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vanovai_295.jpg,Nový Jičín,KDU-ČSL,93
42,5,85,263,395,310,0.7848101265822784,365,Bohuslav Procházka,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/prochazkab_295.jpg,Kutná Hora,KDU-ČSL,78
33,13,44,305,395,351,0.8886075949367088,355,Petr Fiala,KDU-ČSL+SproK,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/fialap_295.jpg,Ústí nad Orlicí,KDU-ČSL,89
173,70,136,1138,1517,1381,0.9103493737640079,354,Josef Bazala,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/bazalaj_295.jpg,Uherské Hradiště,KDU-ČSL,91
172,43,303,999,1517,1214,0.8002636783124588,347,Josef Klement,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/klementj_295.jpg,Žďár nad Sázavou,KDU-ČSL,80
330,98,468,1770,2666,2198,0.8244561140285072,304,Lumír Kantor,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/kantorl_295.jpg,Olomouc,KDU-ČSL,82
312,68,195,2091,2666,2471,0.9268567141785446,302,Jaromíra Vítková,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vitkovaj_295.jpg,Blansko,KDU-ČSL,93
43,8,35,309,395,360,0.9113924050632911,369,Eva Rajchmanová,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/rajchmanovae_295.jpg,Hodonín,KDU-ČSL,91
354,171,903,1238,2666,1763,0.6612903225806451,207,Jiří Čunek,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/cunekj_295.jpg,Vsetín,KDU-ČSL,66
624,42,484,1516,2666,2182,0.8184546136534133,272,Patrik Kunčar,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/kuncarp_295.jpg,Zlín,KDU-ČSL,82
321,46,681,1618,2666,1985,0.7445611402850713,240,Miluše Horská,KDU-ČSL+Nestran,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/horskam_295.jpg,Pardubice,KDU-ČSL,74
307,74,341,1887,2609,2268,0.8692985818321196,319,Pavel Fischer,NK,Nezařazení,https://www.senat.cz/images/senatori/fischerp_295.jpg,Praha 12,Nezařazení,87
103,94,12,186,395,383,0.9696202531645569,358,Daniela Kovářová,NK,Nezařazení,https://www.senat.cz/images/senatori/kovarovad_295.jpg,Plzeň-město,Nezařazení,97
61,21,176,137,395,219,0.5544303797468354,368,Jana Zwyrtek Hamplová,NEZ,Nezařazení,https://www.senat.cz/images/senatori/hamplovaj_295.jpg,Kroměříž,Nezařazení,55
42,11,40,302,395,355,0.8987341772151899,362,Hana Kordová Marvanová,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/marvanovah_295.jpg,Praha 11,ODS a TOP 09,90
344,116,460,1689,2609,2149,0.8236872364890763,329,Rostislav Koštial,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/kostialr_295.jpg,Břeclav,ODS a TOP 09,82
20,21,95,259,395,300,0.759493670886076,361,Jan Pirk,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/pirkj_295.jpg,Praha 10,ODS a TOP 09,76
201,120,760,1528,2609,1849,0.7087006515906478,331,Jitka Chalánková,NK,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/chalankovaj_295.jpg,Prostějov,ODS a TOP 09,71
55,8,51,281,395,344,0.8708860759493671,359,Marek Slabý,KDUODST2020TOP,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/slabym_295.jpg,Tábor,ODS a TOP 09,87
258,55,596,1700,2609,2013,0.7715599846684553,333,Herbert Pavera,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/paverah_295.jpg,Opava,ODS a TOP 09,77
250,69,273,1080,1672,1399,0.8367224880382775,335,Hynek Hanza,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/hanzah_295.jpg,Teplice,ODS a TOP 09,84
360,93,790,1366,2609,1819,0.6972019931008049,327,Michal Kortyš,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/kortysm_295.jpg,Svitavy,ODS a TOP 09,70
125,57,41,1294,1517,1476,0.972972972972973,339,Tomáš Fiala,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/fialat_295.jpg,Strakonice,ODS a TOP 09,97
353,67,124,973,1517,1393,0.9182597231377719,340,Jaroslav Chalupský,Svobodní,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/chalupskyj_295.jpg,Pelhřimov,ODS a TOP 09,92
182,73,241,1021,1517,1276,0.8411338167435728,342,Miroslava Němcová,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/nemcovam_295.jpg,Praha 1,ODS a TOP 09,84
374,77,288,1927,2666,2378,0.891972993248312,243,Miloš Vystrčil,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/vystrcilm_295.jpg,Jihlava,ODS a TOP 09,89
193,53,95,1176,1517,1422,0.9373764007910349,346,Jan Grulich,TOP 09+LES,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/grulichj_295.jpg,Rychnov nad Kněžnou,ODS a TOP 09,94
949,53,843,821,2666,1823,0.6837959489872468,268,Jaroslav Zeman,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/zemanj_295.jpg,Jablonec nad Nisou,ODS a TOP 09,68
189,33,215,1080,1517,1302,0.8582729070533949,348,Tomáš Třetina,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/tretinat_295.jpg,Znojmo,ODS a TOP 09,86
133,33,516,835,1517,1001,0.6598549769281477,353,Ondřej Šimetka,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/simetkao_295.jpg,Ostrava-město,ODS a TOP 09,66
46,9,70,270,395,325,0.8227848101265823,357,Jan Paparega,ProMOST,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/paparegaj_295.jpg,Most,ODS a TOP 09,82
