mp_id,name,constituency_id,party,since,until,photo,link
138,Ivan Adamec,39,ODS,2002-11-02,2008-11-02,/images/senatori/adameci_295.jpg,https://senat.cz/senatori/index.php?ke_dni=02.02.2003&lng=cz&par_3=138
221,Pavel Trpák,39,ČSSD,2008-10-25,2014-10-25,/images/senatori/trpakp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=25.01.2009&lng=cz&par_3=221
283,Jiří Hlavatý,39,ANO 2011,2014-10-18,2017-10-21,/images/senatori/hlavatyj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=18.01.2015&lng=cz&par_3=283
311,Jan Sobotka,39,STAN,2018-01-13,2020-10-18,/images/senatori/sobotkaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.04.2018&lng=cz&par_3=311
311,Jan Sobotka,39,STAN,2020-10-10,2026-10-10,/images/senatori/sobotkaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=10.01.2021&lng=cz&par_3=311
40,Karel Floss,40,ČSSD,1996-11-23,1998-11-23,/images/senatori/flossk_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=40
95,Jan Fencl,40,ČSSD,1998-11-21,2004-11-21,/images/senatori/fenclj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=21.02.1999&lng=cz&par_3=95
178,Bedřich Moldan,40,ODS,2004-11-13,2010-11-13,/images/senatori/moldanb_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.02.2005&lng=cz&par_3=178
239,Jaromír Strnad,40,ČSSD,2010-10-23,2016-10-23,/images/senatori/strnadj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.01.2011&lng=cz&par_3=239
239,Jaromír Strnad,40,ČSSD,2016-10-15,2022-10-15,/images/senatori/strnadj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=15.01.2017&lng=cz&par_3=239
365,Bohuslav Procházka,40,KDU-ČSL,2022-10-01,2028-10-01,/images/senatori/prochazkab_295.jpg,https://senat.cz/senatori/index.php?ke_dni=01.01.2023&lng=cz&par_3=365
41,Libuše Benešová,41,ODS,1996-11-23,2000-11-23,/images/senatori/benesoval_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=41
123,Helena Rögnerová,41,KDU-ČSL,2000-11-19,2006-11-19,/images/senatori/rognerovah_295.jpg,https://senat.cz/senatori/index.php?ke_dni=19.02.2001&lng=cz&par_3=123
197,Karel Šebek,41,ODS,2006-10-28,2012-10-28,/images/senatori/sebekk_295.jpg,https://senat.cz/senatori/index.php?ke_dni=28.01.2007&lng=cz&par_3=197
259,Luděk Jeništa,41,TOP+STAN,2012-10-20,2018-10-20,/images/senatori/jenistal_295.jpg,https://senat.cz/senatori/index.php?ke_dni=20.01.2013&lng=cz&par_3=259
324,Zdeněk Hraba,41,STAN,2018-10-13,2024-10-13,/images/senatori/hrabaz_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.01.2019&lng=cz&par_3=324
42,Vladislav Malát,42,ODS,1996-11-23,2002-11-23,/images/senatori/malatv_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=42
150,Jan Rakušan,42,ČSSD,2002-11-02,2008-11-02,/images/senatori/rakusanj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=02.02.2003&lng=cz&par_3=150
222,Pavel Lebeda,42,ČSSD,2008-10-25,2014-10-25,/images/senatori/lebedap_295.jpg,https://senat.cz/senatori/index.php?ke_dni=25.01.2009&lng=cz&par_3=222
284,Emilie Třísková,42,ČSSD,2014-10-18,2020-10-18,/images/senatori/triskovae_295.jpg,https://senat.cz/senatori/index.php?ke_dni=18.01.2015&lng=cz&par_3=284
344,Pavel Kárník,42,STAN,2020-10-10,2026-10-10,/images/senatori/karnikp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=10.01.2021&lng=cz&par_3=344
43,Jaroslava Moserová,43,ODA,1996-11-23,1998-11-23,/images/senatori/moserovaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=43
43,Jaroslava Moserová,43,4KOALICE,1998-11-21,2004-11-21,/images/senatori/moserovaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=21.02.1999&lng=cz&par_3=43
179,Jiří Stříteský,43,ODS,2004-11-13,2010-11-13,/images/senatori/striteskyj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.02.2005&lng=cz&par_3=179
240,Miluše Horská,43,Nestran.,2010-10-23,2016-10-23,/images/senatori/horskam_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.01.2011&lng=cz&par_3=240
240,Miluše Horská,43,KDU-ČSL+Nestran,2016-10-15,2022-10-15,/images/senatori/horskam_295.jpg,https://senat.cz/senatori/index.php?ke_dni=15.01.2017&lng=cz&par_3=240
240,Miluše Horská,43,KDU-ČSL+Nestran,2022-10-01,2028-10-01,/images/senatori/horskam_295.jpg,https://senat.cz/senatori/index.php?ke_dni=01.01.2023&lng=cz&par_3=240
44,Petr Pithart,44,KDU-ČSL,1996-11-23,2000-11-23,/images/senatori/pithartp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=44
44,Petr Pithart,44,KDU-ČSL,2000-11-19,2006-11-19,/images/senatori/pithartp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=19.02.2001&lng=cz&par_3=44
44,Petr Pithart,44,KDU-ČSL,2006-10-28,2012-10-28,/images/senatori/pithartp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=28.01.2007&lng=cz&par_3=44
266,Jan Veleba,44,NK,2012-10-20,2018-10-20,/images/senatori/velebaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=20.01.2013&lng=cz&par_3=266
325,Jan Tecl,44,ODS+STAN+STO,2018-10-13,2024-10-13,/images/senatori/teclj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.01.2019&lng=cz&par_3=325
45,Karel Barták,45,ODA,1996-11-23,2002-11-23,/images/senatori/bartakk_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=45
45,Karel Barták,45,NK,2002-11-02,2008-11-02,/images/senatori/bartakk_295.jpg,https://senat.cz/senatori/index.php?ke_dni=02.02.2003&lng=cz&par_3=45
223,Vladimír Dryml,45,ČSSD,2008-10-25,2014-10-25,/images/senatori/drymlv_295.jpg,https://senat.cz/senatori/index.php?ke_dni=25.01.2009&lng=cz&par_3=223
285,Jaroslav Malý,45,ČSSD,2014-10-18,2020-10-18,/images/senatori/malyj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=18.01.2015&lng=cz&par_3=285
345,Jan Holásek,45,HDK+TOP+SE+Z+LE,2020-10-10,2026-10-10,/images/senatori/holasekj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=10.01.2021&lng=cz&par_3=345
46,Bohumil Čada,46,KDU-ČSL,1996-11-23,1998-11-23,/images/senatori/cadab_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=46
46,Bohumil Čada,46,4KOALICE,1998-11-21,2004-11-21,/images/senatori/cadab_295.jpg,https://senat.cz/senatori/index.php?ke_dni=21.02.1999&lng=cz&par_3=46
180,Ludmila Müllerová,46,KDU-ČSL,2004-11-13,2010-11-13,/images/senatori/mulleroval_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.02.2005&lng=cz&par_3=180
241,Petr Šilar,46,KDU-ČSL,2010-10-23,2016-10-23,/images/senatori/silarp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.01.2011&lng=cz&par_3=241
241,Petr Šilar,46,KDU-ČSL,2016-10-15,2022-10-15,/images/senatori/silarp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=15.01.2017&lng=cz&par_3=241
355,Petr Fiala,46,KDU-ČSL+SproK,2022-09-24,2028-09-24,/images/senatori/fialap_295.jpg,https://senat.cz/senatori/index.php?ke_dni=24.12.2022&lng=cz&par_3=355
47,Miloslav Müller,47,ODS,1996-11-23,2000-11-23,/images/senatori/mullerm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=47
125,Petr Fejfar,47,US,2000-11-19,2006-11-19,/images/senatori/fejfarp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=19.02.2001&lng=cz&par_3=125
198,Petr Pakosta,47,ODS,2006-10-28,2012-10-28,/images/senatori/pakostap_295.jpg,https://senat.cz/senatori/index.php?ke_dni=28.01.2007&lng=cz&par_3=198
